Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","22pF","C_0805_2012Metric",-78.400000,-91.850000,180.000000,bottom
"C2","22pF","C_0805_2012Metric",-78.400000,-83.900000,180.000000,bottom
"C3","1uF","C_0805_2012Metric",-68.250000,-75.400000,90.000000,bottom
"C4","0.1uF","C_0805_2012Metric",-56.150000,-90.950000,90.000000,bottom
"C5","0.1uF","C_0805_2012Metric",-69.200000,-97.100000,0.000000,bottom
"C6","0.1uF","C_0805_2012Metric",-74.400000,-83.500000,0.000000,bottom
"C7","10uF","C_0805_2012Metric",-60.750000,-75.900000,180.000000,bottom
"C16","0.1uF","C_0805_2012Metric",-60.750000,-79.800000,180.000000,bottom
"D1","D_Small","D_SOD-123",-43.053000,-62.611000,90.000000,bottom
"D2","D_Small","D_SOD-123",-36.839750,-85.149000,90.000000,bottom
"D3","D_Small","D_SOD-123",-36.839750,-104.199000,90.000000,bottom
"D4","D_Small","D_SOD-123",-36.839750,-123.249000,90.000000,bottom
"D5","D_Small","D_SOD-123",-41.665750,-137.600000,90.000000,bottom
"D6","D_Small","D_SOD-123",-52.460750,-66.099000,90.000000,bottom
"D7","D_Small","D_SOD-123",-47.888750,-85.149000,90.000000,bottom
"D8","D_Small","D_SOD-123",-55.889750,-104.199000,90.000000,bottom
"D9","D_Small","D_SOD-123",-55.889750,-123.249000,90.000000,bottom
"D10","D_Small","D_SOD-123",-55.889750,-142.299000,90.000000,bottom
"D11","D_Small","D_SOD-123",-89.417750,-66.099000,90.000000,bottom
"D12","D_Small","D_SOD-123",-84.464750,-85.149000,90.000000,bottom
"D13","D_Small","D_SOD-123",-84.464750,-104.199000,90.000000,bottom
"D14","D_Small","D_SOD-123",-84.464750,-123.249000,90.000000,bottom
"D15","D_Small","D_SOD-123",-72.399750,-137.981000,90.000000,bottom
"D16","D_Small","D_SOD-123",-103.514750,-104.199000,90.000000,bottom
"D17","D_Small","D_SOD-123",-103.514750,-66.099000,90.000000,bottom
"D18","D_Small","D_SOD-123",-103.514750,-85.149000,90.000000,bottom
"D19","D_Small","D_SOD-123",-103.514750,-123.249000,90.000000,bottom
"D20","D_Small","D_SOD-123",-108.975750,-142.426000,90.000000,bottom
"D21","D_Small","D_SOD-123",-122.564750,-66.099000,90.000000,bottom
"D22","D_Small","D_SOD-123",-122.564750,-85.149000,90.000000,bottom
"D23","D_Small","D_SOD-123",-122.564750,-104.199000,90.000000,bottom
"D24","D_Small","D_SOD-123",-122.564750,-123.249000,90.000000,bottom
"D25","D_Small","D_SOD-123",-122.564750,-142.299000,90.000000,bottom
"D26","D_Small","D_SOD-123",-141.287500,-66.099000,90.000000,bottom
"D27","D_Small","D_SOD-123",-143.773750,-85.149000,90.000000,bottom
"D28","D_Small","D_SOD-123",-133.740750,-104.199000,90.000000,bottom
"D29","D_Small","D_SOD-123",-127.136750,-123.249000,90.000000,bottom
"D30","D_Small","D_SOD-123",-133.931250,-142.299000,90.000000,bottom
"F1","Polyfuse_Small","Fuse_1206_3216Metric",-61.300000,-69.850000,-90.000000,bottom
"J1","TYPE-C-31-M12_13","TYPE-C-31-M-12",-66.460000,-59.442500,0.000000,bottom
"P1","TC2030-AVR","PinHeader_2x3_P2.54mm_Vertical",-75.700000,-69.600000,90.000000,bottom
"R1","22","R_0805_2012Metric",-65.350000,-70.400000,-90.000000,bottom
"R2","22","R_0805_2012Metric",-67.386750,-70.400000,90.000000,bottom
"R3","10K","R_0805_2012Metric",-71.400000,-74.650000,0.000000,bottom
"R4","10K","R_0805_2012Metric",-58.810750,-97.000000,180.000000,bottom
"R5","5.1K","R_0805_2012Metric",-70.000000,-63.700000,90.000000,bottom
"R6","5.1K","R_0805_2012Metric",-60.800000,-63.850000,90.000000,bottom
"R7","5K","R_0805_2012Metric",-62.616000,-133.225000,90.000000,bottom
"R8","5K","R_0805_2012Metric",-62.616000,-128.653000,-90.000000,bottom
"R9","5K","R_0805_2012Metric",-62.616000,-124.081000,-90.000000,bottom
"R10","470","R_0805_2012Metric",-65.450000,-141.250000,180.000000,bottom
"SW1","SW_Push","SW_TS-1187A-B-A-B",-90.600000,-72.950000,0.000000,bottom
"SW2","Rotary_Encoder_Switch_Chassis","RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm_CircularMountingHoles",-35.647000,-68.972000,90.000000,bottom
"U1","ATmega32U4-A","TQFP-44_10x10mm_P0.8mm",-64.875000,-88.387500,-90.000000,bottom
"U2","USBLC6-2SC6","SOT-23-6",-66.450000,-63.350000,90.000000,bottom
"Y1","16MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",-78.400000,-88.000000,90.000000,bottom
