Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","22pF","C_0805_2012Metric",-78.400000,-91.500000,180.000000,bottom
"C2","22pF","C_0805_2012Metric",-78.400000,-84.200000,0.000000,bottom
"C3","1uF","C_0805_2012Metric",-66.000000,-77.150000,90.000000,bottom
"C4","0.1uF","C_0805_2012Metric",-68.550000,-77.150000,90.000000,bottom
"C5","0.1uF","C_0805_2012Metric",-69.200000,-97.100000,0.000000,bottom
"C6","0.1uF","C_0805_2012Metric",-53.150000,-84.400000,180.000000,bottom
"C7","10uF","C_0805_2012Metric",-74.493750,-83.025000,0.000000,bottom
"C8","10uF","C_0805_2012Metric",-92.950000,-145.050000,-90.000000,bottom
"C9","10uF","C_0805_2012Metric",-28.350000,-141.850000,180.000000,bottom
"C10","10uF","C_0805_2012Metric",-25.650000,-102.250000,180.000000,bottom
"C11","10uF","C_0805_2012Metric",-26.250000,-65.000000,180.000000,bottom
"C12","10uF","C_0805_2012Metric",-91.850000,-53.950000,90.000000,bottom
"C13","10uF","C_0805_2012Metric",-145.100000,-64.700000,0.000000,bottom
"C14","10uF","C_0805_2012Metric",-145.350000,-110.550000,0.000000,bottom
"C15","10uF","C_0805_2012Metric",-138.200000,-145.050000,-90.000000,bottom
"D1","D_Small","D_SOD-123",-43.053000,-62.611000,90.000000,bottom
"D2","D_Small","D_SOD-123",-36.839750,-85.149000,90.000000,bottom
"D3","D_Small","D_SOD-123",-36.839750,-104.199000,90.000000,bottom
"D4","D_Small","D_SOD-123",-36.839750,-123.249000,90.000000,bottom
"D5","D_Small","D_SOD-123",-41.665750,-137.600000,90.000000,bottom
"D6","D_Small","D_SOD-123",-52.460750,-66.099000,90.000000,bottom
"D7","D_Small","D_SOD-123",-47.888750,-85.149000,90.000000,bottom
"D8","D_Small","D_SOD-123",-55.889750,-104.199000,90.000000,bottom
"D9","D_Small","D_SOD-123",-55.889750,-123.249000,90.000000,bottom
"D10","D_Small","D_SOD-123",-55.889750,-142.299000,90.000000,bottom
"D11","D_Small","D_SOD-123",-89.417750,-66.099000,90.000000,bottom
"D12","D_Small","D_SOD-123",-84.464750,-85.149000,90.000000,bottom
"D13","D_Small","D_SOD-123",-84.464750,-104.199000,90.000000,bottom
"D14","D_Small","D_SOD-123",-84.464750,-123.249000,90.000000,bottom
"D15","D_Small","D_SOD-123",-72.399750,-137.981000,90.000000,bottom
"D16","D_Small","D_SOD-123",-103.514750,-104.199000,90.000000,bottom
"D17","D_Small","D_SOD-123",-103.514750,-66.099000,90.000000,bottom
"D18","D_Small","D_SOD-123",-103.514750,-85.149000,90.000000,bottom
"D19","D_Small","D_SOD-123",-103.514750,-123.249000,90.000000,bottom
"D20","D_Small","D_SOD-123",-108.975750,-142.426000,90.000000,bottom
"D21","D_Small","D_SOD-123",-122.564750,-66.099000,90.000000,bottom
"D22","D_Small","D_SOD-123",-122.564750,-85.149000,90.000000,bottom
"D23","D_Small","D_SOD-123",-122.564750,-104.199000,90.000000,bottom
"D24","D_Small","D_SOD-123",-122.564750,-123.249000,90.000000,bottom
"D25","D_Small","D_SOD-123",-122.564750,-142.299000,90.000000,bottom
"D26","D_Small","D_SOD-123",-141.287500,-66.099000,90.000000,bottom
"D27","D_Small","D_SOD-123",-143.773750,-85.149000,90.000000,bottom
"D28","D_Small","D_SOD-123",-133.740750,-104.199000,90.000000,bottom
"D29","D_Small","D_SOD-123",-127.136750,-123.249000,90.000000,bottom
"D30","D_Small","D_SOD-123",-133.931250,-142.299000,90.000000,bottom
"F1","Polyfuse_Small","Fuse_1206_3216Metric",-73.450000,-64.150000,-90.000000,bottom
"J1","TYPE-C-31-M12_13","TYPE-C-31-M-12",-66.460000,-59.442500,0.000000,bottom
"LED1","WS2812B","LED_WS2812B-Mini_3.5x3.5mm",-87.766750,-145.093000,0.000000,bottom
"LED2","WS2812B","LED_WS2812B-Mini_3.5x3.5mm",-28.584750,-144.966000,0.000000,bottom
"LED3","WS2812B","LED_WS2812B-Mini_3.5x3.5mm",-25.536750,-106.485000,-90.000000,bottom
"LED4","WS2812B","LED_WS2812B-Mini_3.5x3.5mm",-25.758500,-56.769000,-90.000000,bottom
"LED5","WS2812B","LED_WS2812B-Mini_3.5x3.5mm",-87.766750,-53.884500,180.000000,bottom
"LED6","WS2812B","LED_WS2812B-Mini_3.5x3.5mm",-145.424750,-56.828000,90.000000,bottom
"LED7","WS2812B","LED_WS2812B-Mini_3.5x3.5mm",-145.424750,-106.485000,90.000000,bottom
"LED8","WS2812B","LED_WS2812B-Mini_3.5x3.5mm",-142.376750,-145.093000,0.000000,bottom
"P1","TC2030-AVR","PinHeader_2x3_P2.54mm_Vertical",-66.450000,-115.050000,90.000000,bottom
"R1","22","R_0805_2012Metric",-61.600000,-78.672000,-90.000000,bottom
"R2","22","R_0805_2012Metric",-63.636750,-78.672000,90.000000,bottom
"R3","10K","R_0805_2012Metric",-73.900000,-74.550000,-90.000000,bottom
"R4","10K","R_0805_2012Metric",-58.810750,-97.087000,180.000000,bottom
"R5","5.1K","R_0805_2012Metric",-70.000000,-63.700000,90.000000,bottom
"R6","5.1K","R_0805_2012Metric",-60.800000,-63.850000,90.000000,bottom
"R7","5K","R_0805_2012Metric",-62.112750,-133.282000,90.000000,bottom
"R8","5K","R_0805_2012Metric",-62.112750,-128.710000,-90.000000,bottom
"R9","5K","R_0805_2012Metric",-62.112750,-124.138000,-90.000000,bottom
"R10","470","R_0805_2012Metric",-88.655750,-142.045000,180.000000,bottom
"SW1","SW_Push","SW_TS-1187A-B-A-B",-66.550000,-106.800000,180.000000,bottom
"SW2","Rotary_Encoder_Switch_Chassis","RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm_CircularMountingHoles",-35.647000,-68.972000,90.000000,bottom
"U1","ATmega32U4-A","TQFP-44_10x10mm_P0.8mm",-64.875000,-88.387500,-90.000000,bottom
"U2","USBLC6-2SC6","SOT-23-6",-66.450000,-63.350000,90.000000,bottom
"Y1","16MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",-78.400000,-88.000000,-90.000000,bottom
